model1,model2,Q_params correlation,state_freq correlation,Q_exchange correlation,Q_matrix correlation,Q_params distance,state_freq distance,Q_exchange distance,Q_matrix distance
Q.p__Margulisbacteria,Q.p__Bipolaricaulota,0.9602607636475284,0.7832689025386207,0.960260763647528,0.9265442901521672,0.03362043085695467,0.09030738892803844,12.153452772593102,1.0946264186818002
Q.p__Margulisbacteria,Q.p__Spirochaetota,0.9892126511729691,0.9701960019814588,0.989212651172969,0.9868902036889761,0.017480179596978895,0.029983313059100052,5.204608100695091,0.47526932107200603
Q.p__Margulisbacteria,Q.p__Chlamydiota,0.9888467292267342,0.9831697751333307,0.9888467292267354,0.990742911502907,0.019698430284888047,0.025616671231836495,6.616724943734369,0.46372510183094784
Q.p__Margulisbacteria,Q.p__Synergistota,0.9725421382459456,0.8991006139602825,0.9725421382459454,0.9675701530876993,0.028550131281635176,0.05816830722137271,9.529465708693966,0.7099055478642233
Q.p__Margulisbacteria,Q.p__Deinococcota,0.9681255193308747,0.7080089189171268,0.9681255193308741,0.9169314921443126,0.03630857050784096,0.11413624470780524,18.0323333595239,1.5771023290514459
Q.p__Margulisbacteria,Q.p__Poribacteria,0.9274495406293138,0.8980322067504868,0.9274495406293146,0.9228274118938806,0.046246287490150605,0.05425551392254985,13.722314019270597,1.0174854575400638
Q.p__Margulisbacteria,Q.p__Krumholzibacteriota,0.9775983975180771,0.7609056885731224,0.9775983975180774,0.9472078215402098,0.026294761698029172,0.09366591884992108,10.894166530969406,1.124282069389326
Q.p__Margulisbacteria,Q.p__Deferribacterota,0.9717005571184045,0.9545394853915327,0.9717005571184048,0.9761645497031082,0.029098578066182358,0.03699188037934811,8.154411299917077,0.7793606568336656
Q.p__Margulisbacteria,Q.p__Dependentiae,0.983511087233676,0.9825208219159162,0.9835110872336758,0.9909431583008418,0.02229600867173604,0.025281437419577238,6.4562244119526335,0.46889089478051077
Q.p__Fibrobacterota,Q.p__Eisenbacteria,0.9783416219409399,0.8542653810028789,0.9783416219409397,0.9532229154710469,0.026056052019198816,0.0772843543286738,8.709178477498527,0.9900222044449624
Q.p__Fibrobacterota,Q.p__Gemmatimonadota,0.9672268691589361,0.8129107246700845,0.9672268691589359,0.938177633831631,0.03582232360546286,0.1025832925431817,18.71399501137544,1.458445438186045
Q.p__Fibrobacterota,Q.p__Thermotogota,0.9291356083761808,0.8703029267212804,0.9291356083761809,0.9398857292243779,0.04665121194414733,0.0696682681211468,13.959060016088168,1.0712065899665133
Q.p__Fibrobacterota,Q.p__Cloacimonadota,0.982171415373465,0.8660792368778025,0.9821714153734641,0.9628251743829124,0.023819195456175737,0.0676297813245023,7.158047962329293,0.873894717692364
Q.p__Fibrobacterota,Q.p__Fusobacteriota,0.9216016132941537,0.7906757855607673,0.9216016132941536,0.9091513812514018,0.04916906880643235,0.1003042627957556,14.891244906202282,1.432999063850167
Q.p__Fibrobacterota,Q.p__Caldisericota,0.9434913048305505,0.91472076876915,0.9434913048305503,0.9640894846104435,0.04192651747132583,0.05080000602362169,12.786976751166485,0.7689293821896297
Q.p__Fibrobacterota,Q.p__Zixibacteria,0.9831655979740246,0.9861516145766254,0.9831655979740243,0.9878456032383048,0.023239467189417638,0.021230356968265977,7.352352982658076,0.6134649757526128
Q.p__Fibrobacterota,Q.p__Marinisomatota,0.9747529096729035,0.8275196526720305,0.9747529096729037,0.9599045222473562,0.0281942634624511,0.07602005242039761,8.553330937824072,0.8982735468587857
Q.p__Fibrobacterota,Q.p__Margulisbacteria,0.981953396935165,0.939844146352187,0.9819533969351645,0.9812880597439991,0.024797343245788785,0.04236663729870474,7.8211432037001245,0.6271850538468099
Q.p__Fibrobacterota,Q.p__Fibrobacterota,1.0,1.0,0.9999999999999999,0.9999999999999999,0.0,0.0,0.0,0.0
Q.p__Fibrobacterota,Q.p__Bipolaricaulota,0.9571775436196237,0.9094119672890267,0.9571775436196233,0.9528948713054852,0.036408109515234995,0.06083199256148034,11.671586007152824,0.931736664113881
Q.p__Fibrobacterota,Q.p__Spirochaetota,0.988035210968169,0.9861498293902089,0.9880352109681687,0.9923629005666069,0.02009054060360909,0.020464886806430174,6.224202805339945,0.4389205693807102
Q.p__Fibrobacterota,Q.p__Chlamydiota,0.9855398965505324,0.9259731641504352,0.9855398965505325,0.9832830147682217,0.02131696973119046,0.05007665688721642,6.411807164902723,0.6367436163738004
Q.p__Fibrobacterota,Q.p__Synergistota,0.9778076118466232,0.9838921357937994,0.9778076118466219,0.9864185138327434,0.02635771693800536,0.02516331252041352,8.034957619179778,0.4852362789511718
Q.p__Fibrobacterota,Q.p__Deinococcota,0.981970451680796,0.862800642678462,0.981970451680796,0.9430908110934316,0.02614688903239729,0.08324021864459512,13.698794972697964,1.381817205323612
